code=10;from=Jonathan Tah;to=Oleg Shatov;eventTime=3:38;stadion=room;startTime=13:18;teamName=Russia;codeName=free kick;timeNumber=1;
code=6;from=Andr? Sch?rrle;to=Ruslan Rotan;eventTime=1:43;stadion=came;startTime=15:29;teamName=Ukraine;codeName=kick to gate;timeNumber=1;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
code=6;from=Emre Can;to=Igor Akinfeev;eventTime=67:42;stadion=shepherd;startTime=5:20;teamName=Russia;codeName=kick to gate;timeNumber=2;
